system:index,B11,B11_B12,B11_B12_change,B11_B12_wet,B11_change,B11_wet,B12,B12_change,B12_wet,B2,B2_change,B2_wet,B3,B3_change,B3_wet,B4,B4_B3,B4_B3_change,B4_B3_wet,B4_change,B4_wet,B8,B8_B4,B8_B4_change,B8_B4_wet,B8_change,B8_wet,NDVI,NDVI_change,NDVI_wet,elevation,slope,.geo,predicted_class,prospectivity_score,priority
942_0,0.2622,1.5212643,0.3392007,1.860465,-0.030200005,0.232,0.174,-0.049299993,0.1247,0.1359,-0.00850001,0.1274,0.1191,-0.0012999997,0.1178,0.1262,1.0332541,-0.18860216,0.844652,-0.026700005,0.0995,0.2016,1.5792351,1.147398,2.726633,0.06969999,0.2713,0.2245763,0.23874623,0.46332252,445,7.5417275,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.55244847181301,22.022154274425862]}",1,0.6009666666666666,High
943_0,0.1216,1.8970358,0.61551964,2.5125556,-0.03655,0.08505,0.0641,-0.030249998,0.03385,0.1115,-0.006900005,0.1046,0.0938,-0.010300003,0.0835,0.0734,0.7842179,-0.1650562,0.61916167,-0.021699999,0.0517,0.159,2.2547684,1.2752124,3.5299807,0.02350001,0.1825,0.38551697,0.17298006,0.558497,545,27.630028,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.19830971540384,21.977597836333533]}",0,0.34095714285714285,Low
944_0,0.1347,2.0533535,0.4477263,2.5010798,-0.0189,0.1158,0.0656,-0.019299999,0.0463,0.1258,-0.016999997,0.1088,0.1094,-0.020899996,0.0885,0.0886,0.7955092,-0.1356222,0.659887,-0.0302,0.0584,0.1739,2.184949,1.3030648,3.4880137,0.029800013,0.2037,0.37204644,0.18232213,0.55436856,232,11.752008,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.01606441566524,21.900252890370844]}",0,0.2851666666666667,Low
945_0,0.349,1.5610371,0.47067028,2.0317073,-0.14075,0.20825,0.23065,-0.12814999,0.1025,0.1341,-0.016400002,0.1177,0.1237,-0.0133500025,0.11035,0.1428,1.1582755,-0.43784052,0.72043496,-0.063300006,0.0795,0.23585,1.6125462,2.040913,3.6534593,0.0546,0.29045,0.23446329,0.3357489,0.5702122,348,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.7598420252251,21.67881817283538]}",1,0.5203666666666666,Medium
946_0,0.1815,1.5037283,0.3468335,1.8505617,-0.016800001,0.1647,0.1252,-0.0362,0.089,0.1336,-0.0029999912,0.1306,0.1188,-0.0069999993,0.1118,0.1081,0.9275604,-0.11629026,0.8112701,-0.017399997,0.0907,0.174,1.6632035,0.53856057,2.201764,0.025700003,0.1997,0.2490247,0.12631965,0.37534434,353,2.7802885,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.05071193994115,21.163993683506483]}",1,0.6139333333333334,High
947_0,0.1142,1.7342839,0.6693305,2.4036143,0.0054999962,0.1197,0.06485,-0.015050001,0.0498,0.11535,-0.00705,0.1083,0.0925,-0.0055000037,0.087,0.07685,0.81002283,-0.13875842,0.6712644,-0.018449996,0.0584,0.14575,1.9124273,1.3307233,3.2431507,0.04365,0.1894,0.3132875,0.21536463,0.52865213,468,19.626392,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.40710105884247,22.22723965379035]}",0,0.4283571428571427,Medium
948_0,0.2121,1.6872727,0.8838847,2.5711575,-0.0766,0.1355,0.1377,-0.08500001,0.0527,0.1082,-0.010700002,0.0975,0.0942,-0.011399999,0.0828,0.0968,0.96660113,-0.34824365,0.6183575,-0.0456,0.0512,0.201,1.9218749,3.15625,5.078125,0.058999985,0.26,0.315508,0.35544315,0.6709511,630,9.395641,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.18871146470931,19.262619553139107]}",0,0.4714047619047619,Medium
949_0,0.2211,1.370257,0.15168542,1.5219425,-0.009550005,0.21155,0.1634,-0.024399996,0.139,0.1594,0.0015500039,0.16095,0.1455,-0.0013000071,0.1442,0.1447,1.0052631,-0.13529082,0.8699723,-0.019250005,0.12545,0.208,1.4699864,0.3239554,1.7939419,0.017049998,0.22505,0.19027895,0.09388653,0.28416547,305,0.9948249,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.0765834201238,21.216006138457004]}",1,0.5773380952380951,Medium
950_0,0.19105,1.8920026,0.5004503,2.392453,-0.06424999,0.1268,0.101,-0.048000004,0.053,0.1158,-0.0041000023,0.1117,0.10195,-0.011050001,0.0909,0.08845,0.87820673,-0.18843769,0.689769,-0.025749996,0.0627,0.19245,2.272967,1.3618014,3.6347685,0.035449997,0.2279,0.38893044,0.17954855,0.568479,345,6.5402718,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.37635580471633,21.793173708503797]}",0,0.3870904761904764,Low
951_0,0.1829,1.747755,0.96493167,2.7126868,-0.037499994,0.1454,0.1105,-0.056900002,0.0536,0.1112,-0.0073999986,0.1038,0.0937,-0.0072000027,0.0865,0.083,0.9152216,-0.26897877,0.6462428,-0.027099997,0.0559,0.1818,2.1400912,2.6443453,4.7844367,0.08565001,0.26745,0.3630758,0.29116884,0.65424466,507,22.685383,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.30477379941756,19.182489829795642]}",0,0.45736666666666664,Medium
952_0,0.1959,1.4102389,0.8811116,2.2913506,-0.0449,0.151,0.1447,-0.07880001,0.0659,0.1109,-0.003700003,0.1072,0.0925,-0.003200002,0.0893,0.1009,1.0558183,-0.34473208,0.7110863,-0.0374,0.0635,0.152,1.3897059,2.52368,3.9133859,0.09650001,0.2485,0.16307692,0.4298718,0.59294873,707,4.734069,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.47245724298972,15.141508355712388]}",0,0.4492380952380953,Medium
953_0,0.27026665,1.4661629,0.47293517,1.9390981,-0.061716646,0.20855,0.18395,-0.076400004,0.10755,0.1311,-0.013149999,0.11795,0.11765,-0.016450003,0.1012,0.1392,1.1824764,-0.41271356,0.7697629,-0.061300002,0.0779,0.17942,1.2886782,2.018767,3.3074453,0.07822999,0.25765,0.12613308,0.40955457,0.5356877,304,4.042291,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.37706530837993,19.73037232158014]}",1,0.6389285714285715,High
954_0,0.28693333,1.5967578,0.48712385,2.0838816,-0.09688333,0.19005,0.195825,-0.104624994,0.0912,0.1297,-0.018700004,0.111,0.11835,-0.016499996,0.10185,0.12924999,1.0952342,-0.38585764,0.7093765,-0.05699999,0.07225,0.20570001,1.5816028,2.2869093,3.8685122,0.0738,0.2795,0.2255211,0.36367577,0.58919686,345,1.9680053,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.44857120499584,19.57586209271158]}",1,0.565061904761905,Medium
955_0,0.25695,1.616715,0.44786838,2.0645833,-0.05874999,0.1982,0.16165,-0.06565,0.096,0.1186,0.00039999932,0.119,0.10855,0.00065000355,0.1092,0.10855,1.0183555,-0.25919795,0.75915754,-0.025649995,0.0829,0.23460001,2.1461792,1.4509258,3.597105,0.0636,0.2982,0.36429676,0.20064682,0.5649436,518,3.9995148,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.26449725471605,15.103240124608897]}",1,0.5197000000000002,Medium
956_0,0.1623,1.7545872,0.24750043,2.0020876,-0.018450007,0.14385,0.0901,-0.018249996,0.07185,0.0989,-0.012949996,0.08595,0.0884,-0.0124999955,0.0759,0.0717,0.82202446,-0.17050935,0.6515151,-0.02225,0.04945,0.2022,2.9015474,1.2015873,4.1031346,0.00070001185,0.2029,0.48738286,0.12070117,0.608084,589,7.0672903,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.41881867196408,15.100814673341773]}",0,0.49113333333333326,Medium
