system:index,B11,B11_B12,B11_B12_change,B11_B12_wet,B11_change,B11_wet,B12,B12_change,B12_wet,B2,B2_change,B2_wet,B3,B3_change,B3_wet,B4,B4_B3,B4_B3_change,B4_B3_wet,B4_change,B4_wet,B8,B8_B4,B8_B4_change,B8_B4_wet,B8_change,B8_wet,NDVI,NDVI_change,NDVI_wet,elevation,region_id,slope,.geo
0000000000000000009d_0,0.29715,1.4033058,0.13766873,1.5409745,-0.018849999,0.2783,0.21175,-0.031149998,0.1806,0.1149,0.0053000003,0.1202,0.1037,0.007100001,0.1108,0.10975,1.0583414,0.030106248,1.0884477,0.010849997,0.1206,0.17855,1.6268793,-0.09537018,1.531509,0.0061499923,0.1847,0.23864031,-0.028682895,0.2099574,667,1,2.1270678,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.08860712208545,14.4162984268427]}"
0000000000000000009e_0,0.1643,2.0692694,0.14863607,2.2179055,-0.032999992,0.1313,0.0794,-0.020200003,0.0592,0.11395,-0.021049999,0.0929,0.1048,-0.0229,0.0819,0.0875,0.8349236,-0.12918496,0.70573866,-0.0297,0.0578,0.2536,2.8982859,1.2193614,4.117647,-0.015599996,0.238,0.48695397,0.12224144,0.6091954,683,1,2.1269326,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.08950543736957,14.39887111033078]}"
0000000000000000009f_0,0.3234,1.3873874,0.34537122,1.7327586,-0.08219999,0.2412,0.2331,-0.093899995,0.1392,0.1228,-0.0058000013,0.117,0.1144,-0.008500002,0.1059,0.1383,1.2089161,-0.31089908,0.89801705,-0.0432,0.0951,0.19075,1.379248,1.0781653,2.4574132,0.042950004,0.2337,0.15939827,0.26213458,0.42153287,671,1,2.6645067,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.08312739885231,14.433096922655734]}"
000000000000000000a0_0,0.2,1.8544275,0.07910735,1.9335349,-0.008000001,0.192,0.10785,-0.008550003,0.0993,0.11145,0.0019499958,0.1134,0.1043,-0.003399998,0.1009,0.0845,0.810163,-0.026218528,0.7839445,-0.005400002,0.0791,0.3008,3.5597632,-0.2980693,3.261694,-0.04280001,0.258,0.56138074,-0.030677691,0.53070307,673,1,4.6819034,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.0928292039208,14.42420360134295]}"
000000000000000000a1_0,0.36365,1.3924947,0.12232584,1.5148206,-0.072349995,0.2913,0.26115,-0.068849996,0.1923,0.12415,-0.019450001,0.1047,0.11975,-0.02205,0.0977,0.16585,1.3849686,-0.120895,1.2640736,-0.04235,0.1235,0.2414,1.4555322,0.37928578,1.8348179,-0.014799997,0.2266,0.1855126,0.10897472,0.29448733,679,1,4.7245955,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.12651602707528,14.45411750030413]}"
000000000000000000a2_0,0.026,1.5853659,0.39628553,1.9816514,-0.0044,0.0216,0.0164,-0.0055,0.0109,0.1134,-0.0046999976,0.1087,0.0948,0.0034999996,0.0983,0.0768,0.8101266,-0.026810242,0.7833164,1.9999593E-4,0.077,0.0532,0.6927083,-0.0017992058,0.6909091,0.0,0.0532,-0.18153849,-0.0012572118,-0.1827957,649,1,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.07387475142588,14.46417863148627]}"
000000000000000000a3_0,0.2728,1.4850299,0.5139539,1.9989839,-0.07609999,0.1967,0.1837,-0.0853,0.0984,0.1164,-0.016900003,0.0995,0.1003,-0.001699999,0.0986,0.1032,1.0289133,-0.3402723,0.688641,-0.0353,0.0679,0.1404,1.3604652,3.2978559,4.658321,0.1759,0.3163,0.15270936,0.4938289,0.64653826,697,1,1.3328669,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.14061957703596,14.398242289631897]}"
000000000000000000a4_0,0.2252,1.3978895,0.11715084,1.5150403,-0.018700004,0.2065,0.1611,-0.024800003,0.1363,0.1229,-0.012900002,0.11,0.1066,-0.007100001,0.0995,0.11215,1.0520637,-0.14352103,0.90854275,-0.021749996,0.0904,0.1448,1.291128,0.6989162,1.9900442,0.035099998,0.1799,0.12706755,0.20404603,0.33111358,637,1,2.1275237,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.16846735084367,14.475317741009352]}"
000000000000000000a5_0,0.1892,1.8901098,0.26703298,2.1571429,-0.023100004,0.1661,0.1001,-0.023100004,0.077,0.1136,-0.011200003,0.1024,0.1069,-0.0119,0.095,0.0939,0.878391,-0.076285765,0.8021053,-0.017700002,0.0762,0.2671,2.8445153,0.91663927,3.7611547,0.019499987,0.2866,0.47977838,0.10015544,0.5799338,671,1,3.8258717,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.07639003422142,14.416208595314286]}"
000000000000000000a6_0,0.3069,1.3787062,0.41182905,1.7905352,-0.07609999,0.2308,0.2226,-0.09369999,0.1289,0.1218,-0.013899997,0.1079,0.1171,-0.008600004,0.1085,0.1468,1.2536293,-0.3771316,0.87649775,-0.051699996,0.0951,0.2078,1.4155314,1.7590218,3.1745532,0.0941,0.3019,0.17202483,0.34888196,0.5209068,652,1,1.3330556,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.16083167092866,14.459417560480436]}"
000000000000000000a7_0,0.3334,1.4752213,0.39268714,1.8679085,-0.11280002,0.2206,0.226,-0.10789999,0.1181,0.13035,-0.016849995,0.1135,0.1278,-0.025300004,0.1025,0.1443,1.129108,-0.29788846,0.8312195,-0.059100002,0.0852,0.2616,1.8128897,0.94650006,2.7593899,-0.026499987,0.2351,0.28898743,0.17901134,0.46799877,677,1,4.2481904,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.09031392112527,14.410010219853863]}"
000000000000000000a8_0,0.3287,1.3275445,0.4048412,1.7323856,-0.048400015,0.2803,0.2476,-0.08580001,0.1618,0.1241,-0.018299997,0.1058,0.1166,-0.014899999,0.1017,0.1392,1.1938251,-0.2429893,0.95083576,-0.042500004,0.0967,0.2089,1.5007184,1.1063136,2.607032,0.043199986,0.2521,0.20022982,0.2452977,0.44552752,669,1,3.3741283,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.11142433030209,14.43525287933762]}"
000000000000000000a9_0,0.2144,1.7262479,0.3752013,2.1014493,-0.05489999,0.1595,0.1242,-0.048299998,0.0759,0.1102,-0.013500005,0.0967,0.0994,-0.012099996,0.0873,0.0941,0.94668007,-0.17119329,0.77548677,-0.0264,0.0677,0.198,2.1041446,1.1321923,3.2363367,0.0211,0.2191,0.3557001,0.1721939,0.527894,724,1,13.77208,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.13954159869502,14.42465275898501]}"
000000000000000000aa_0,0.3056,1.3534101,0.1378355,1.4912456,-0.007499993,0.2981,0.2258,-0.025899991,0.1999,0.11285,-0.0011500046,0.1117,0.1027,0.0019999966,0.1047,0.12155,1.1835443,-0.07943733,1.1041069,-0.005950004,0.1156,0.1706,1.4035376,0.25563198,1.6591696,0.021200001,0.1918,0.16789319,0.07999231,0.2478855,669,1,1.8543341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.12184478759787,14.459417560480436]}"
000000000000000000ab_0,0.2555,1.7010652,0.1112967,1.812362,-0.009199992,0.2463,0.1502,-0.014299989,0.1359,0.1221,-0.018000007,0.1041,0.1168,-0.014900006,0.1019,0.1221,1.0453767,-0.11701555,0.9283612,-0.027500004,0.0946,0.2447,2.0040948,0.6016133,2.6057084,0.0018000007,0.2465,0.33424208,0.111081876,0.44532394,681,1,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.07360525684065,14.413962807103989]}"
000000000000000000ac_0,0.2672,1.5356321,0.3725223,1.9081545,-0.0449,0.2223,0.174,-0.057499997,0.1165,0.1232,-0.013499998,0.1097,0.1177,-0.012500003,0.1052,0.1234,1.0484282,-0.19481604,0.8536122,-0.033600003,0.0898,0.2497,2.0235007,1.0243834,3.0478842,0.024000004,0.2737,0.33851513,0.16739959,0.5059147,645,1,2.9401546,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.15032138210445,14.47298212127064]}"
000000000000000000ad_0,0.2251,1.4323894,0.45587358,1.888263,-0.023999989,0.2011,0.15715,-0.05065,0.1065,0.11635,-0.016550004,0.0998,0.10345,-0.011849999,0.0916,0.1069,1.0333494,-0.23094769,0.8024017,-0.0334,0.0735,0.17095,1.599158,1.3028828,2.902041,0.04235001,0.2133,0.23052005,0.25692764,0.4874477,711,1,4.6273675,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.1274143423594,14.439654624229807]}"
000000000000000000ae_0,0.4003,1.4268401,0.3238721,1.7507122,-0.1545,0.2458,0.28055,-0.14015,0.1404,0.13445,-0.020650007,0.1138,0.1385,-0.036900006,0.1016,0.1802,1.301083,-0.41230342,0.8887795,-0.089899994,0.0903,0.26315,1.4603219,1.3436646,2.8039865,-0.009950012,0.2532,0.18709825,0.28713754,0.4742358,668,1,2.127188,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.08160026286932,14.431839281257966]}"
000000000000000000af_0,0.3472,1.4917294,0.38394213,1.8756715,-0.10280001,0.2444,0.23275,-0.10245,0.1303,0.12525,-0.01935,0.1059,0.1214,-0.018399999,0.103,0.15045,1.2392917,-0.35385475,0.8854369,-0.059250005,0.0912,0.23825,1.5835825,1.6631278,3.2467103,0.05784999,0.2961,0.22588113,0.3031661,0.52904725,703,1,4.723724,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.12983979362653,14.412974660291457]}"
000000000000000000b0_0,0.2471,1.6087239,0.212737,1.8214608,-0.04509999,0.202,0.1536,-0.042700008,0.1109,0.1182,-0.0022999942,0.1159,0.1104,-0.0037999973,0.1066,0.1063,0.9628623,-0.124213144,0.83864915,-0.016899996,0.0894,0.2345,2.2060208,0.9695943,3.175615,0.049399987,0.2839,0.37617373,0.14485492,0.52102864,668,1,3.8250413,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.09992589466535,14.425371411212305]}"
000000000000000000b1_0,0.3409,1.3854908,0.33485386,1.7203447,-0.08129999,0.2596,0.24605,-0.095149994,0.1509,0.1222,-0.0154,0.1068,0.11625,-0.015550002,0.1007,0.14705,1.2649462,-0.32949433,0.93545187,-0.052849993,0.0942,0.20225,1.3753827,0.69361955,2.0690022,-0.0073499978,0.1949,0.15803038,0.19029202,0.3483224,677,1,0.9575728,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.071718794744,14.420340845621237]}"
000000000000000000b2_0,0.16855,1.9197038,0.31929925,2.239003,-0.015849993,0.1527,0.0878,-0.019600004,0.0682,0.11245,-0.0012500063,0.1112,0.1042,-0.004599996,0.0996,0.0838,0.8042227,-0.039162457,0.76506025,-0.007600002,0.0762,0.2856,3.4081144,0.18768582,3.5958004,-0.011600018,0.274,0.5462913,0.018528806,0.5648201,681,1,3.374058,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.09336819309128,14.420790003263296]}"
000000000000000000b3_0,0.0294,1.7818183,0.1418459,1.9236641,-0.0042000003,0.0252,0.0165,-0.0033999998,0.0131,0.1177,-0.0044,0.1133,0.1002,-0.004099995,0.0961,0.08,0.7984032,-0.016925618,0.7814776,-0.004900001,0.0751,0.0599,0.74875003,-0.04968211,0.6990679,-0.0074000023,0.0525,-0.14367403,-0.03344195,-0.17711599,644,1,3.3743095,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.0830375673239,14.47253296362858]}"
000000000000000000b4_0,0.306,1.3818017,-0.077591226,1.3042105,-0.0582,0.2478,0.22145,-0.031450003,0.19,0.11765,-0.005450003,0.1122,0.1094,-0.011199996,0.0982,0.14005,1.2801645,-0.14778166,1.1323829,-0.028849997,0.1112,0.1931,1.3787934,0.31814915,1.6969426,-0.0044,0.1887,0.15923761,0.09918188,0.25841948,667,1,2.1273513,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.13675682131425,14.4531293534916]}"
000000000000000000b5_0,0.1993,1.8259277,0.0636524,1.8895801,0.043699995,0.243,0.10915,0.019450001,0.1286,0.1217,-0.012699999,0.109,0.11685,-0.008350007,0.1085,0.11405,0.9760376,-0.05253532,0.9235023,-0.0138500035,0.1002,0.30965,2.7150373,-0.29487747,2.4201598,-0.06715,0.2425,0.4616474,-0.04641539,0.415232,674,1,5.3175793,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.158945208832,14.436510520735387]}"
000000000000000000b6_0,0.3128,1.559322,0.24381393,1.8031359,-0.10579999,0.207,0.2006,-0.0858,0.1148,0.1175,-0.0028000027,0.1147,0.1116,-0.007799998,0.1038,0.116,1.0394266,-0.15310666,0.8863199,-0.023999996,0.092,0.2342,2.0189655,0.37125176,2.3902173,-0.014300004,0.2199,0.33752143,0.07254589,0.41006732,667,1,4.8659935,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.0792646431306,14.440103781871866]}"
000000000000000000b7_0,0.14765,2.2767925,0.08927867,2.3660712,-0.015150011,0.1325,0.06485,-0.008850001,0.056,0.1072,-0.013799995,0.0934,0.09825,-0.01275,0.0855,0.0793,0.8071247,-0.13811885,0.6690058,-0.022100002,0.0572,0.2789,3.5170238,1.1892698,4.7062936,-0.0097,0.2692,0.5572306,0.09227921,0.6495098,658,1,1.8543341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.13594833755855,14.459237897423613]}"
000000000000000000b8_0,0.3708,1.4558303,0.17251949,1.6283498,-0.13989998,0.2309,0.2547,-0.112900004,0.1418,0.1398,-0.035499997,0.1043,0.1386,-0.045300007,0.0933,0.1717,1.2388167,-0.28168914,0.9571275,-0.0824,0.0893,0.256,1.4909726,0.5247049,2.0156777,-0.076000005,0.18,0.19710079,0.13969834,0.33679914,678,1,4.723578,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.1183413579898,14.402464371467259]}"
000000000000000000b9_0,0.1851,1.6208407,0.28945836,1.910299,-0.012600005,0.1725,0.1142,-0.023900002,0.0903,0.1095,-0.012699999,0.0968,0.1016,-0.011799999,0.0898,0.082,0.80708665,-0.033144563,0.7739421,-0.012500003,0.0695,0.2366,2.8853657,0.34341127,3.228777,-0.012199998,0.2244,0.48524794,0.041802075,0.52705,671,1,2.0866847,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.10163269370517,14.42411376981454]}"
000000000000000000ba_0,0.3119,1.2262629,0.5173795,1.7436424,-0.0582,0.2537,0.25435,-0.10885,0.1455,0.1196,-0.012800001,0.1068,0.1096,-0.010399997,0.0992,0.13375,1.2203468,-0.21329035,1.0070565,-0.033850007,0.0999,0.1803,1.3480372,0.8131239,2.1611612,0.035600007,0.2159,0.14822477,0.21909632,0.3673211,683,1,4.248699,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.14268570218944,14.443158053837873]}"
000000000000000000bb_0,0.2676,1.512719,0.09006404,1.6027831,-0.014200002,0.2534,0.1769,-0.018800005,0.1581,0.11545,-0.0030499995,0.1124,0.10455,-5.499944E-4,0.104,0.11185,1.0698231,-0.1188616,0.9509615,-0.012950003,0.0989,0.1879,1.6799285,0.45657304,2.1365016,0.023399994,0.2113,0.25371143,0.10863545,0.3623469,643,1,2.8713696,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.10980736279066,14.481336453412952]}"
000000000000000000bc_0,0.2073,1.7552922,0.51466435,2.2699566,-0.050900012,0.1564,0.1181,-0.049200006,0.0689,0.1109,-0.014700003,0.0962,0.1002,-0.014299996,0.0859,0.0933,0.93113774,-0.19539855,0.7357392,-0.030100003,0.0632,0.2111,2.2625937,1.8244319,4.0870256,0.04720001,0.2583,0.3869908,0.21985215,0.60684294,713,1,2.1270378,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.13810429424043,14.412525502649396]}"
000000000000000000bd_0,0.21965,1.558907,0.43036336,1.9892703,-0.034250006,0.1854,0.1409,-0.047700003,0.0932,0.11475,-0.019249998,0.0955,0.09875,-0.018250003,0.0805,0.0948,0.96,-0.17490686,0.7850931,-0.031600006,0.0632,0.1722,1.8164556,1.1107597,2.9272153,0.012800008,0.185,0.2898876,0.20084569,0.4907333,676,1,1.3328867,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.08097144217042,14.40479999120597]}"
000000000000000000be_0,0.3107,1.6098446,0.16404323,1.7738878,-0.067499995,0.2432,0.193,-0.055900007,0.1371,0.12425,-0.020550005,0.1037,0.12015,-0.01985,0.1003,0.12925,1.0757387,-0.2103349,0.86540383,-0.042450003,0.0868,0.23835,1.8441006,0.8114293,2.65553,-0.007850006,0.2305,0.29678997,0.15609372,0.4528837,676,1,3.0160186,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.0973207803414,14.405518643433265]}"
